Country,Country_Code,2015,2016,2017,2018,2019
Aruba,ABW,27980.8806952751,28281.35048163,29007.6930034887,,
Afghanistan,AFG,578.466352941708,547.228110150363,556.30200240406,524.162880925404,502.115486913067
Angola,AGO,4166.97968386501,3506.07288506966,4095.81294155857,3289.64666408633,2973.59115979868
Albania,ALB,3952.80121524465,4124.05572595352,4531.02080555986,5284.38018438156,5352.85741103671
Andorra,AND,35762.523073758,37474.6654057245,38962.8803536703,41793.0552583729,40886.3911648431
Arab World,ARB,6387.66061493825,6097.23902538074,6102.21106679858,6603.35119013708,6580.05625672999
United Arab Emirates,ARE,38663.3838066363,38141.8467585492,40644.804043392,43839.3563491413,43103.3230583165
Argentina,ARG,13789.060424772,12790.2424732447,14591.8633810541,11683.9496216363,10006.1489736082
Armenia,ARM,3607.29669672271,3591.82927553023,3914.5012684128,4220.49027671249,4622.73349328671
American Samoa,ASM,11843.3311832581,11696.9555623329,10823.4448040273,11466.6907058505,
Antigua and Barbuda,ATG,14286.0931598293,15197.6174551735,15383.4151884998,16726.9808079479,17790.309306815
Australia,AUS,56755.7217124249,49971.131456129,54066.4712686117,57395.9194663167,54907.1019101424
Austria,AUT,44178.0473777432,45237.8050921543,47549.0790402349,51525.0464342791,50277.2750874213
Azerbaijan,AZE,5500.31038244408,3880.73873089556,4147.08971569171,4739.84171028393,4793.58701966989
Burundi,BDI,305.549772797441,282.193130404814,292.997630684415,271.752044376648,261.247472515742
Belgium,BEL,40991.8081381432,41998.335750239,44288.5080403124,47491.3232594693,46116.69923368
Benin,BEN,1076.79771601166,1087.28783152256,1136.59284704681,1240.82946441954,1219.43267185875
Burkina Faso,BFA,653.32697954543,687.670174974205,738.274158940081,820.160793810547,774.8396902346
Bangladesh,BGD,1248.45339778371,1401.62046644588,1563.91385693051,1698.35039428122,1855.73982408046
Bulgaria,BGR,7053.60370638709,7545.79033249799,8331.0580246026,9423.5586115666,9737.60135083347
Bahrain,BHR,22688.9443998144,22619.1166718849,23709.430467983,23991.05667694,23503.977126673
"Bahamas, The",BHS,31405.9635601781,31588.8349989813,31827.2426989661,32217.871590084,32933.4860147581
Bosnia and Herzegovina,BIH,4727.27754622207,4994.68314045091,5394.59122017677,6072.18099160639,6073.26520283208
Belarus,BLR,5949.10630699748,5022.62664330491,5761.74712023007,6330.0752464187,6663.29529282582
Belize,BLZ,4775.95564827821,4818.40390879479,4887.5772083381,4884.7341615523,4815.1637107951
Bermuda,BMU,,,,,
Bolivia,BOL,3035.97221489277,3076.6589493424,3351.12403975607,3548.59015254032,3552.0687621416
Brazil,BRA,8814.00098681261,8710.09668954121,9925.38623770041,9001.23424863499,8717.18627810819
Barbados,BRB,16525.0732500596,16900.166552366,17391.4258663397,17745.1934649963,18148.2449264001
Brunei Darussalam,BRN,31164.5620291141,27157.8234104784,28572.1467776509,31628.3287914349,31086.7510792939
Bhutan,BTN,2752.66420790266,2930.56298891838,3286.57470287488,3243.23112593497,
Botswana,BWA,6799.87523352768,7243.85299726842,7893.21010771116,8279.60136473398,7961.33814014048
Central African Republic,CAF,377.423001679447,402.191290596004,450.900244979058,475.953609871945,467.907440636335
Canada,CAN,43585.5119817751,42322.4847803038,45148.5527061655,46313.1713712961,46194.7252255167
Central Europe and the Baltics,CEB,12493.7138218191,12792.5141152591,14198.129857177,15966.6683367845,16184.332008629
Switzerland,CHE,82081.5971239792,80172.2320747951,80449.9945608366,82818.1081617471,81993.7271494202
Channel Islands,CHI,,,,,
Chile,CHL,13574.171830724,13753.5944374598,14999.3700885512,15924.7942393064,14896.4538665789
China,CHN,8066.94242356745,8147.9381477822,8879.43814888506,9976.67682180773,10261.6791283744
Cote d'Ivoire,CIV,1972.54610769746,2013.38246179891,2111.02707557541,2302.61295091153,2286.162776855
Cameroon,CMR,1327.50301711492,1364.33011041997,1425.10781805334,1534.49127445052,1497.90917560296
"Congo, Dem. Rep.",COD,497.316960805476,471.318840409572,467.07423746489,557.064418324276,545.216212311342
"Congo, Rep.",COG,1762.03201773797,1815.29584294039,1767.89452055028,2223.85447919587,2011.07239887663
Colombia,COL,6175.87613151279,5871.2235753589,6377.85136303665,6718.58532391314,6432.38758339551
Comoros,COM,1242.6031895579,1273.05895265459,1323.81158996501,1415.95531263535,1393.52237156461
Cabo Verde,CPV,3043.01398430098,3130.96338461412,3292.6457550859,3617.32748829173,3603.7817936777
Costa Rica,CRI,11299.1355423011,11666.4559107759,11814.6265687665,12112.1344206452,12238.3749643984
Caribbean small states,CSS,9939.80120602741,9384.91452359793,9557.51749317694,9982.26808917155,10307.586280788
Cuba,CUB,7694.0119195241,8060.79588647979,8541.2106734664,8821.81889125004,
Curacao,CUW,19951.3279030441,19555.3658492891,19457.5315232205,19573.892645136,
Cayman Islands,CYM,76280.4862528245,78296.0999272332,81124.5134794821,85477.2870130687,
Cyprus,CYP,23333.7149112129,24532.5190588269,26338.6943443136,28689.7067225792,27858.3709958327
Czech Republic,CZE,17715.6168523009,18463.3865756564,20379.8960396417,23046.9491261402,23101.7777049854
Germany,DEU,41139.5445685533,42098.9204453545,44349.5896552757,47639.0034407122,46258.8782897052
Djibouti,DJI,2658.97875260181,2802.19705115707,2914.38385631251,3141.88921873893,3408.84625440838
Dominica,DMA,7596.43506226258,8080.96862341186,7274.72133332918,7691.34509727878,8300.37507427213
Denmark,DNK,53254.8560039631,54663.9983719195,57141.0598350414,61390.6930097009,59822.0929608968
Dominican Republic,DOM,6921.5172283795,7280.88010922762,7609.33879943715,8050.63044027449,8282.1162218645
Algeria,DZA,4177.89251546889,3946.44397689835,4044.27660039876,4114.71506136896,3948.34327892571
East Asia & Pacific (excluding high income),EAP,6522.67436374416,6612.24847115179,7173.39830759621,7971.13751452149,8222.07772991917
Early-demographic dividend,EAR,3297.40525634055,3328.52405517429,3548.28805066882,3582.00222702088,3641.49428094103
East Asia & Pacific,EAS,9598.27855497314,9857.98086489345,10467.7021916107,11316.7604501843,11526.7364862403
Europe & Central Asia (excluding high income),ECA,7461.21170155524,7043.48134673804,7863.6790493156,8013.86070821048,8110.72144821906
Europe & Central Asia,ECS,22551.6008910796,22371.6823872914,23597.42400545,25171.425966277,24696.3396075804
Ecuador,ECU,6124.49164262072,6060.09332904415,6213.50127649921,6295.93539868079,6183.82382482173
"Egypt, Arab Rep.",EGY,3598.9709482021,3525.02016450058,2440.51017311107,2549.13225178609,3020.03134971543
Euro area,EMU,34381.5547912416,35142.3154719071,37095.1202703313,39965.8403338731,38925.6651077079
Eritrea,ERI,,,,,
Spain,ESP,25732.0183647454,26505.3432155204,28170.4345659807,30337.6791331632,29613.6711379783
Estonia,EST,17522.230186252,18237.2958432683,20388.2095530338,23258.4675814303,23659.8722900339
Ethiopia,ETH,640.541891313682,717.124592933285,768.522307579386,771.523813864476,857.501351042922
European Union,EUU,30473.7402563699,31162.6963930937,33029.9879503522,35659.75714691,34843.297471632
Fragile and conflict affected situations,FCS,2409.66401678124,2107.93886646687,2084.67211107407,2206.39826523439,
Finland,FIN,42784.6983616432,43784.2839622098,46316.7454588326,50021.2910567702,48685.8539866945
Fiji,FJI,5390.74523711745,5651.31806630066,6101.03084255946,6266.96795881419,6220.04642089247
France,FRA,36638.184929157,37037.3741861219,38812.1610341682,41631.0907389044,40493.9285720456
Faroe Islands,FRO,52404.6593331379,55822.9147203438,58622.840815806,,
"Micronesia, Fed. Sts.",FSM,2906.37678497635,3014.70035839042,3289.70114571277,3568.291015625,
Gabon,GAB,7384.71587003183,6984.45101873395,7230.39639268426,7956.62781558686,7667.36686126914
United Kingdom,GBR,44974.8318771782,41064.1334316223,40361.4173832159,43043.2278164551,42300.267125825
Georgia,GEO,4014.18594419329,4062.16988757379,4357.00093554628,4722.78778321766,4769.18654326351
Ghana,GHA,1743.8509964087,1931.38947036943,2025.93242386751,2202.31216442504,2202.11556738065
Gibraltar,GIB,,,,,
Guinea,GIN,769.256013746016,732.96657072192,856.565269750468,983.309492239346,1064.13123736656
"Gambia, The",GMB,649.510829417793,683.997653898689,676.655924552125,712.512371079256,751.294688388742
Guinea-Bissau,GNB,603.158512942404,661.007654906181,736.725566231783,777.969921786711,697.784402885715
Equatorial Guinea,GNQ,11283.46560612,9250.33195308226,9667.91225173046,10144.1958108456,8131.92388810912
Greece,GRC,18167.7737169162,18116.4596223336,18930.2185856433,20324.3050137875,19582.5360108329
Grenada,GRD,9096.87064595412,9628.34748662013,10152.8328118872,10485.9071571796,10965.5131592044
Greenland,GRL,44536.4013080999,48181.874188064,50321.3687543442,54470.9563864255,
Guatemala,GTM,3994.63691288475,4173.30166619474,4451.45098990197,4472.89236269013,4619.98709708493
Guam,GUM,35278.9259389693,35562.8379083283,35615.8046274371,35712.5621350321,
Guyana,GUY,4166.12851559884,4542.62206666493,4586.05457171312,4979.00218839886,5468.35662903592
High income,HIC,39730.9195530976,40332.2633871007,41971.2373450864,44392.6756638546,44583.5587553822
"Hong Kong SAR, China",HKG,42431.8882817277,43731.1068245299,46165.8565115953,48542.887332961,48755.8350791287
Honduras,HND,2302.20137936204,2342.58465119568,2453.72789597457,2505.7767518956,2574.91219067443
Heavily indebted poor countries (HIPC),HPC,927.484595463214,897.493255355095,929.410711342351,955.518907332905,947.061233586925
Croatia,HRV,11782.8990799829,12360.4838164919,13412.3382902297,14920.1913831924,14853.2398374635
Haiti,HTI,815.728284410317,735.301770321704,765.727294324274,868.342024762787,754.58791774842
Hungary,HUN,12651.5683423004,12992.375667515,14457.608763614,16150.7727613725,16475.7418389402
IBRD only,IBD,5581.20551384289,5571.60102665915,6091.70977670783,6451.68568201707,6564.92014731271
IDA & IBRD total,IBT,4537.97692824524,4503.14517758389,4885.47424281036,5153.20210555709,5227.75905922735
IDA total,IDA,1370.73525008276,1299.26767391327,1312.72588848293,1359.69623307619,1377.49082047327
IDA blend,IDB,1957.86344151847,1771.73912815028,1714.46986572736,1753.09130179051,1762.41115437295
Indonesia,IDN,3331.69512758628,3562.84575641971,3837.65173121117,3893.84642475571,4135.56926281554
IDA only,IDX,1066.1569440534,1057.25582367529,1110.35579689092,1162.75026642006,1185.84185873965
Isle of Man,IMN,81606.2800333934,79155.541672096,80989.1722114502,,
India,IND,1605.60543355488,1732.56426178428,1981.6510498992,2005.86300452403,2104.14590003333
Not classified,INX,,,,,
Ireland,IRL,61995.4227789928,63197.0823744196,69822.3471789095,78621.2279552716,78660.9564629603
"Iran, Islamic Rep.",IRN,4904.32687747976,5253.42484259991,5520.31078932382,,
Iraq,IRQ,4989.80307473071,4776.72649939331,5205.28825481998,5834.16621076139,5955.10901036816
Iceland,ISL,52564.4291863302,61466.8039666276,71310.9392535086,72968.7042306678,66944.8255080349
Israel,ISR,35776.7951710172,37321.6240366845,40541.8620907084,41719.7254417057,43641.3977358108
Italy,ITA,30230.2263021296,30939.7142462298,32406.7203150134,34520.085162403,33189.5657988542
Jamaica,JAM,4907.50371974316,4843.33847410864,5069.18383810726,5354.2368587703,5582.26377755211
Jordan,JOR,4105.44896083238,4103.73359991068,4162.82068657256,4241.78878213854,4330.32934593257
Japan,JPN,34524.4698609337,38761.8181501925,38386.5111457057,39159.4235633952,40246.8801284164
Kazakhstan,KAZ,10510.7718884148,7714.84184376024,9247.58133129626,9812.60140498928,9731.14520688729
Kenya,KEN,1336.88334885603,1410.52756809011,1572.33549593781,1707.98680529003,1816.5469164389
Kyrgyz Republic,KGZ,1121.08283510739,1120.66651300848,1242.76964282023,1308.14016549619,1309.39299165512
Cambodia,KHM,1162.90491997151,1269.59125737542,1385.2599796333,1512.12670972847,1643.12138876475
Kiribati,KIR,1542.5752495838,1584.80744578963,1640.50010436018,1698.25628626739,1655.07883905984
St. Kitts and Nevis,KNA,18029.3255386512,18811.8733745852,19155.2894041125,19275.2772604415,19896.4957043824
"Korea, Rep.",KOR,28732.2310762599,29288.8704389833,31616.8434004683,33340.265151682,31761.9776923447
Kuwait,KWT,29869.5293908248,27653.0667677649,29759.4364865575,33994.3819171507,32031.9801025988
Latin America & Caribbean (excluding high income),LAC,8461.07739077445,8142.77002403826,8990.52450414889,8583.06800249045,8368.44639140975
Lao PDR,LAO,2134.71179567796,2308.80048220079,2423.8462031921,2542.4865281792,2534.89827724281
Lebanon,LBN,7644.54865718211,7629.89111711952,7801.17865807555,8024.80327081387,7784.31685692976
Liberia,LBR,710.383857717515,714.623392230031,698.70176435511,677.322178545364,621.892953622715
Libya,LBY,4337.91913919348,4035.1943155047,5756.69844996569,7877.12225061884,7683.75061122959
St. Lucia,LCA,10093.8997626748,10361.8141037985,11047.4449858109,11357.8890096382,11611.4154473966
Latin America & Caribbean,LCN,8870.63068044006,8577.35872648418,9432.97118520624,9081.19452696958,8847.43187038476
Least developed countries: UN classification,LDC,1014.38037293746,978.741307534201,1041.22827629761,1056.78618652863,1069.6816991512
Low income,LIC,860.568620585368,774.507273531087,779.608317856324,781.532781919437,779.818941161527
Liechtenstein,LIE,167290.939983907,165629.190482925,173356.051288416,,
Sri Lanka,LKA,3843.78067184442,3886.29150165239,4077.04372120747,4080.56712469552,3853.08369288942
Lower middle income,LMC,1886.72589351671,1920.04768626716,2034.89358089237,2090.13010911588,2176.55822653245
Low & middle income,LMY,4415.52291117126,4380.32809255942,4749.35641598002,5001.97002596974,5080.3654962737
Lesotho,LSO,1152.13982724874,1043.56979182005,1150.07917252047,1221.88376312516,1157.53516433147
Late-demographic dividend,LTE,8218.38497234966,8187.21315976329,9031.34076889101,9840.78199770609,10000.4820064391
Lithuania,LTU,14249.1149666026,14999.4796391329,16882.6394711995,19080.6173717553,19455.4541266341
Luxembourg,LUX,101376.496574339,104278.390971905,107627.151006695,116654.26106674,114704.594170863
Latvia,LVA,13698.9379476476,14153.4149226916,15586.58189392,17805.2803143817,17836.3648865958
"Macao SAR, China",MAC,75340.9869811152,74061.0860345658,81516.6749248075,87208.535912643,84096.3963112065
St. Martin (French part),MAF,,,,,
Morocco,MAR,2875.25798516781,2896.72000268117,3036.32525487301,3222.20063433213,3204.09500313298
Monaco,MCO,166011.50913116,170028.655717864,167517.059727856,185829.017960407,
Moldova,MDA,2732.45711293733,2880.43928129296,3509.69345025814,4233.99955588135,4498.52085021233
Madagascar,MDG,467.235399432808,475.955417183065,515.29272487784,527.501326141803,522.21980923047
Maldives,MDV,9033.3904129872,9209.28862477108,9540.63434888323,10330.615614094,10790.50023682
Middle East & North Africa,MEA,7371.99833537827,7265.22114570915,7411.42312942984,8049.97955098301,8104.50188772468
Mexico,MEX,9605.95235103139,8739.75604280929,9278.41816833763,9673.44367360619,9863.0726988757
Marshall Islands,MHL,3213.83728825363,3473.77500649519,3666.69537359193,3788.16359372058,
Middle income,MIC,4804.48157801524,4778.76282254341,5193.16390044498,5480.30921484481,5575.44091508914
North Macedonia,MKD,4840.27312286783,5129.15896023703,5430.87421029797,6062.94260420864,6093.14769049676
Mali,MLI,751.478668644525,780.387870004561,830.557408816505,900.110164506815,890.737285506382
Malta,MLT,24002.5232912389,25133.0456471795,27239.0701049375,30133.4661748731,29416.2306070084
Myanmar,MMR,1287.43048657119,1266.54633814868,1291.54241301307,1418.17762347196,1407.81314341043
Middle East & North Africa (excluding high income),MNA,3944.3492513893,3928.79258761764,3793.93201839617,,
Montenegro,MNE,6517.16375162528,7033.60489868635,7803.41113682269,8850.09273291116,8832.03683598629
Mongolia,MNG,3918.57917389554,3660.15074616061,3669.4175403988,4134.98719823511,4295.23502487944
Northern Mariana Islands,MNP,16690.5700968089,22246.7430768136,28305.222587603,23258.6758552794,
Mozambique,MOZ,589.859028149831,428.926487995524,461.415094120589,498.957220208652,491.804723063735
Mauritania,MRT,1524.07288252212,1536.85414964338,1578.11417355949,1600.87646860561,1677.91925268633
Mauritius,MUS,9260.44730250635,9681.61856689674,10484.9083620411,11208.2273695738,11203.5405848607
Malawi,MWI,380.597033140938,315.777326372575,356.717573153369,381.258987601084,411.552340423602
Malaysia,MYS,9955.24212653611,9817.74086096214,10254.2340242588,11373.2330025676,11414.8376618668
North America,NAC,55502.6914987937,56364.855162767,58467.9738138988,61304.5420214083,63327.4588441161
Namibia,NAM,4869.37840629792,4523.09126977999,5303.30913333229,5495.42883582824,4957.4580058497
New Caledonia,NCL,,,,,
Niger,NER,483.339282202639,494.718713458115,516.888247180949,571.526992228733,554.600968697425
Nigeria,NGA,2730.4303237015,2175.99967021858,1968.55958830544,2032.72970882575,2229.85869624463
Nicaragua,NIC,2049.84968976149,2107.56717992428,2159.16307935984,2020.54702818624,1912.90374537869
Netherlands,NLD,45175.2318933798,46007.8529206547,48675.2223350213,53048.0962104394,52447.8314391911
Norway,NOR,74355.5158575643,70459.1825041029,75496.7540581998,81734.4655736102,75419.6348688089
Nepal,NPL,792.552890593381,777.147595512165,911.444266521258,1038.65164702443,1071.05076056552
Nauru,NRU,6956.25380055393,7670.11640425255,8510.86840824456,9762.38930182711,9396.98196681072
New Zealand,NZL,38615.9951849093,40105.6133867135,42849.426324701,42949.9305849512,42084.3533748088
OECD members,OED,35605.2391932836,36030.9131925758,37370.0489908713,39299.2422460942,39438.2275760211
Oman,OMN,16028.7513645532,14618.8753761098,15130.9437443942,16414.8880173692,15474.0324753635
Other small states,OSS,12793.9310514073,12385.063691733,13404.4097361322,14632.3985928237,13981.5837843025
Pakistan,PAK,1356.66775582649,1368.45432627629,1464.99330546855,1482.30566684338,1284.70204090039
Panama,PAN,13630.3079737945,14343.9636291397,15150.345612161,15592.573678922,15731.0160348471
Peru,PER,6229.10169612596,6204.99726003927,6710.50802896038,6941.23584763012,6977.69578355382
Philippines,PHL,3001.04037106857,3073.65361496958,3123.23422944951,3252.09232412664,3485.08421836621
Palau,PLW,15871.8426266629,16932.3328631876,16078.2681940701,15859.4348578768,
Papua New Guinea,PNG,2679.34558781427,2509.6314572831,2695.2518833116,2720.3852453824,2845.18018574842
Poland,POL,12572.4266045561,12431.8158916231,13861.3093648235,15460.6442805468,15595.2270334259
Pre-demographic dividend,PRE,1589.45339244249,1398.96941473081,1414.80084279035,1449.03451071747,1472.38540164517
Puerto Rico,PRI,29763.4883013861,30627.1634017011,31108.7527508912,31621.8934700005,32873.7192730424
"Korea, Dem. People’s Rep.",PRK,,,,,
Portugal,PRT,19242.3664710981,19978.401214968,21490.429863104,23461.5718628115,23145.0408172828
Paraguay,PRY,5406.70385708338,5319.41021789703,5680.58076826353,5805.67561638869,5414.79913793258
West Bank and Gaza,PSE,2967.85174651975,3074.29115236515,3254.48588658763,3198.86664447405,
Pacific island small states,PSS,3776.19942145241,3899.58062674065,4132.18527007284,4223.95841619381,4192.97376136243
Post-demographic dividend,PST,40584.2609627683,41289.5814414088,42879.591169801,45289.6591891274,45578.1263671117
French Polynesia,PYF,,,,,
Qatar,QAT,63039.0165548075,57163.0609918357,61264.3964777979,68793.7844372614,64781.7331974169
Romania,ROU,8977.43738227167,9567.12934484744,10807.7953907179,12408.5964891293,12919.5296441908
Russian Federation,RUS,9313.01362484996,8704.89841329594,10720.3325853448,11370.8134559314,11584.9953826104
Rwanda,RWA,754.906789007641,748.504418148739,772.318471775428,782.618140904879,801.656186978807
South Asia,SAS,1541.80368581438,1651.08946256258,1866.88606656608,1899.60923323667,1959.91716548699
Saudi Arabia,SAU,20627.9327820675,19879.2975304177,20803.7425657324,23338.9634581127,23139.7986561214
Sudan,SDN,1909.73875450207,1299.26119456743,1111.86844893858,623.867252394076,441.505603374484
Senegal,SEN,1219.24866243037,1269.90210810516,1361.69958778497,1465.59100640191,1446.83096499408
Singapore,SGP,55646.6187469505,56828.2953471601,60913.745333494,66188.7793961798,65233.2824392302
Solomon Islands,SLB,1914.46792975705,1986.41623627442,2059.04542370076,2137.69070046201,2127.53850760272
Sierra Leone,SLE,588.228452702849,501.415712857832,499.38070781976,533.991184258936,504.46254336648
El Salvador,SLV,3705.57794598177,3805.99366628473,3910.25719295906,4067.65944881154,4187.2500311069
San Marino,SMR,42650.3172583365,43842.3855205602,45394.2010273704,48481.0133042107,
Somalia,SOM,,,,,
Serbia,SRB,5585.1178082606,5756.38119351044,6284.19280376523,7246.19198607054,7402.35455862041
Sub-Saharan Africa (excluding high income),SSA,1662.58802761865,1492.85111898339,1548.8015400679,1576.77661522188,1573.01368789166
South Sudan,SSD,1119.65133267823,,,,
Sub-Saharan Africa,SSF,1673.44929052822,1504.23840871572,1560.88734674149,1589.42515617081,1585.43646774798
Small states,SST,11707.5184818596,11311.7329004564,12135.8377896017,13158.7022004688,12730.944488417
Sao Tome and Principe,STP,1595.86463222251,1710.13089783903,1811.0128258881,2001.1369778051,1994.90646719089
Suriname,SUR,8561.97417855142,5539.06887190094,5626.79581590317,6003.723065571,6854.90656148409
Slovak Republic,SVK,16309.073235592,16505.9750465561,17554.3083210444,19428.1162135733,19329.0968007902
Slovenia,SVN,20881.7667686947,21622.580683576,23500.7522308704,26054.5421049784,25739.2478143246
Sweden,SWE,51545.4836095322,51965.1571531985,53791.5087298403,54589.0603860606,51610.0660552202
Eswatini,SWZ,3689.51870561216,3447.695698505,3953.08896824132,4145.97411002514,3837.02699384472
Sint Maarten (Dutch part),SXM,,,,,
Seychelles,SYC,14745.3414415607,15068.620324642,15906.0839204787,16390.824875738,17401.7215135612
Syrian Arab Republic,SYR,,,,,
Turks and Caicos Islands,TCA,24832.5963703066,25995.1724609535,25933.6074363465,27142.2277976902,
Chad,TCD,776.019532308037,693.449386475774,665.94835269506,726.149881109447,709.540310138533
East Asia & Pacific (IDA & IBRD countries),TEA,6591.70467144063,6682.04869854955,7248.93113112798,8054.88978500165,8308.33436297408
Europe & Central Asia (IDA & IBRD countries),TEC,7997.06760260124,7651.57831332526,8538.35694285658,8877.96559484034,8988.92804966241
Togo,TGO,570.910279013434,597.471088804109,626.09152789111,678.95563806112,675.542213340634
Thailand,THA,5840.04652294326,5994.23147547156,6592.91490169864,7295.47561612095,7808.19291629949
Tajikistan,TJK,929.095857223746,802.518004052824,806.041573098044,826.621530538704,870.787589323223
Turkmenistan,TKM,6432.68070195019,6389.54840833488,6587.09031628698,6966.63541063077,
Latin America & the Caribbean (IDA & IBRD countries),TLA,8728.07016006564,8417.02746729084,9288.19957715146,8924.13335106833,8681.19668598354
Timor-Leste,TLS,1334.6619555193,1358.20169150129,1294.71553448905,1237.10268208254,1294.18893388776
Middle East & North Africa (IDA & IBRD countries),TMN,3955.55505989437,3938.53331081404,3799.78729071694,,
Tonga,TON,4320.63799011384,3966.15652021899,4217.47650679527,4364.0155613495,
South Asia (IDA & IBRD),TSA,1541.80368581438,1651.08946256258,1866.88606656608,1899.60923323667,1959.91716548699
Sub-Saharan Africa (IDA & IBRD countries),TSS,1673.44929052822,1504.23840871572,1560.88734674149,1589.42515617081,1585.43646774798
Trinidad and Tobago,TTO,18289.704340369,16176.9473700573,16238.1931916674,17129.9130902577,17276.4654468225
Tunisia,TUN,3861.68853113497,3697.93083126064,3481.22873876516,3438.78908914627,3317.54101348345
Turkey,TUR,10948.7246069027,10820.6338422108,10513.6484324378,9370.1763549731,9042.49298288882
